time_sec,frame,speed_mps,obstacle_ratio,override,brake,collision,roi_lookahead_px,min_obstacle_dist_px
83.900,19501,0.000,0.00000,0,0.000,0,100,
83.950,19502,0.000,0.00000,0,0.000,0,100,
84.000,19503,0.003,0.00000,0,0.000,0,100,
84.050,19504,0.000,0.00000,0,0.000,0,100,
84.100,19505,0.098,0.00000,0,0.000,0,101,
84.150,19506,0.294,0.00000,0,0.000,0,105,
84.200,19507,0.461,0.00000,0,0.000,0,109,
84.250,19508,0.710,0.00000,0,0.000,0,114,
84.300,19509,0.929,0.00000,0,0.000,0,118,
84.350,19510,1.260,0.00000,0,0.000,0,125,
84.400,19511,1.500,0.00000,0,0.000,0,130,
84.450,19512,1.828,0.00000,0,0.000,0,136,
84.500,19513,2.123,0.00000,0,0.000,0,142,
84.550,19514,2.393,0.00000,0,0.000,0,147,
84.600,19515,2.699,0.00000,0,0.000,0,153,
84.650,19516,2.996,0.00000,0,0.000,0,159,
84.700,19517,3.317,0.00000,0,0.000,0,166,
84.750,19518,3.624,0.00000,0,0.000,0,172,
84.800,19519,3.919,0.00000,0,0.000,0,178,
84.850,19520,4.204,0.00000,0,0.000,0,184,
84.900,19521,4.483,0.00000,0,0.000,0,189,
84.950,19522,4.757,0.00000,0,0.000,0,195,
85.000,19523,5.006,0.00000,0,0.000,0,200,
85.050,19524,5.169,0.00000,0,0.000,0,203,
85.100,19525,4.683,0.00000,0,0.000,0,193,
85.150,19526,4.068,0.00000,0,0.000,0,181,
85.200,19527,4.198,0.00000,0,0.000,0,183,
85.250,19528,4.345,0.00000,0,0.000,0,186,
85.300,19529,4.542,0.00000,0,0.000,0,190,
85.350,19530,4.747,0.00000,0,0.000,0,194,
85.400,19531,4.881,0.00000,0,0.000,0,197,
85.450,19532,4.891,0.00000,0,0.000,0,197,
85.500,19533,4.790,0.00000,0,0.000,0,195,
85.550,19534,4.667,0.00000,0,0.000,0,193,
85.600,19535,4.560,0.00000,0,0.000,0,191,
85.650,19536,4.477,0.00000,0,0.000,0,189,
85.700,19537,4.401,0.00000,0,0.000,0,188,
85.750,19538,4.358,0.00000,0,0.000,0,187,
85.800,19539,4.344,0.00000,0,0.000,0,186,
85.850,19540,4.345,0.00000,0,0.000,0,186,
85.900,19541,4.341,0.00000,0,0.000,0,186,
85.950,19542,4.322,0.00000,0,0.000,0,186,
86.000,19543,4.285,0.00000,0,0.000,0,185,
86.050,19544,4.239,0.00000,0,0.000,0,184,
86.100,19545,4.193,0.00000,0,0.000,0,183,
86.150,19546,4.157,0.00000,0,0.000,0,183,
